129825;1
4703660;4
5104610;4
5212105;4
5439801;1
7095582;x
9195371;1
14777183;4
15962298;1
15962300;1
16310939;1
17042454;1
18731688;1
19487547;4
19942373;u
23324379;7
27424574;1
27565955;u
28870415;u
28873523;1
29373159;1
36142151;u
36348601;4
36549157;1
43322236;7
49677609;1
54038532;1
54550446;4
1025586;1
3841548;4
4710694;4
5474160;4
6028060;1
6050413;1
11245466;4
11744249;1
13507608;u
13940094;1
19291034;u
19516810;4
20143352;4
20321632;1
20789290;1
21520692;x
23950411;7
25945301;1
27170367;u
27501613;1
27659807;1
29952222;4
33553661;7
36533693;1
36558987;1
48524872;1
48986273;1
52428457;u
1082078;1
1097381;x
2141612;1
3380092;4
3976387;4
5660893;1
5725421;1
9300632;1
11249762;4
14669878;1
14691999;4
15541628;u
15920854;1
18418808;4
19213506;1
20267426;1
22133526;7
25049966;1
26009795;1
27391526;4
29373220;u
30114956;1
36522960;1
36526624;1
36549315;u
38083658;x
43659659;1
50437522;u
4987269;x
6036502;4
7497718;4
7721011;1
8410635;1
9023854;4
9300501;1
9714228;u
10071236;u
11736704;1
11964037;1
15046917;4
15914329;7
15947782;1
20398424;x
20657767;1
20790435;1
20823448;1
24716739;1
26780876;u
31929516;4
36523272;1
36527583;u
36529054;1
36560137;1
37592969;4
37645296;1
41916363;1
1829235;1
2092084;1
2127325;4
2386219;1
3950739;4
6400630;1
10753616;1
13156166;1
13449114;7
15163891;u
15312471;x
15765885;u
15921162;1
18569631;u
19377152;4
20121190;4
20174789;1
21432277;4
21528134;1
28871750;1
35889564;u
36527992;1
36539236;1
36548795;1
36561060;1
38743516;4
52822024;x
54740995;1
884268;1
3971467;4
4541993;1
6036700;4
7118777;4
9459758;1
9917453;u
10885402;u
14287186;1
15495364;4
16021938;1
16089249;4
16105463;7
17267294;u
20398418;x
21429889;1
21936482;1
26758547;x
35128927;1
36522885;1
36558005;1
37250634;1
37458958;1
40474462;1
41869939;1
42439487;4
52036651;u
52896515;1
818038;4
8824534;u
10098079;1
10983521;4
12757055;1
13301989;1
17145244;1
17730101;4
18703721;4
18789729;4
19623476;1
19665166;x
20904483;1
24888015;1
28873768;1
31659926;1
32440769;u
32607002;4
36523019;1
36548772;u
36564956;x
40474824;1
40520450;4
40897282;1
42287537;1
47936150;1
52710066;7
53379155;1
1108408;7
1846925;1
2676031;1
4686826;4
5100642;u
9104772;1
11725254;1
12564678;u
13736324;4
20325593;u
20350631;1
20967912;x
21551944;4
21579906;1
21628992;1
21699115;1
22270567;1
27200971;4
27923132;4
29050956;4
36547498;1
37984594;1
39156193;1
42328088;4
42397733;1
48407543;7
53379042;1
1846930;1
4579677;1
4659187;4
4984543;x
5553848;4
5575305;1
9300246;1
10401667;4
13159131;1
13493014;u
13572420;1
13945257;1
14074844;7
14665007;4
17158452;4
18009422;1
18588672;u
19377990;4
20675484;1
29385829;4
29753234;1
36524708;1
36534992;1
36557874;1
41288663;1
44570149;u
48531199;7
